xcoord	ycoord	type
1876	776	seedling
1906	706	rosette
1909	713	rosette
1903	720	rosette
1936	700	seedling
1937	703	seedling
1944	709	seedling
1923	727	seedling
1972	737	seedling
1910	757	seedling
1913	766	seedling
1900	772	seedling
1962	761	seedling
1999	792	seedling
2045	706	rosette
2060	707	seedling
2052	703	seedling
2063	706	seedling
2007	727	skeleton
2125	717	skeleton
2119	719	skeleton
2148	728	skeleton
2135	726	skeleton
2118	727	skeleton
2199	761	skeleton
2103	778	skeleton
2127	786	skeleton
2156	784	skeleton
2138	791	skeleton
2100	793	skeleton
2165	792	skeleton
2173	797	skeleton
2144	796	skeleton
2117	799	skeleton
2122	700	skeleton
2228	718	skeleton
2259	726	skeleton
2278	749	skeleton
2276	760	skeleton
2228	761	skeleton
2249	763	skeleton
2262	770	skeleton
2266	772	skeleton
2229	775	skeleton
2218	787	rosette
2269	798	skeleton
2346	713	regrowth
2349	715	regrowth
2352	721	seedling
2353	722	seedling
2347	723	seedling
2354	725	seedling
2354	727	seedling
2353	721	skeleton
2392	749	skeleton
2302	776	skeleton
2304	776	skeleton
2346	782	skeleton
2309	790	skeleton
2372	798	skeleton
2383	796	skeleton
2464	704	skeleton
2457	706	skeleton
2424	711	skeleton
2481	719	skeleton
2493	723	skeleton
2416	723	skeleton
2418	729	skeleton
2473	730	skeleton
2484	734	skeleton
2452	742	skeleton
2409	759	regrowth
2486	764	skeleton
2448	762	skeleton
2411	771	skeleton
2496	795	regrowth
2563	703	skeleton
2595	718	skeleton
2551	721	skeleton
2533	721	skeleton
2589	758	skeleton
2512	764	skeleton
2511	766	regrowth
2573	776	skeleton
2565	774	skeleton
2572	773	skeleton
2570	786	skeleton
2509	754	regrowth
2656	711	skeleton
2634	713	skeleton
2627	722	skeleton
2626	757	skeleton
2631	761	skeleton
2635	767	skeleton
2646	779	regrowth
2672	799	skeleton
2706	709	skeleton
2727	754	skeleton
2703	779	skeleton
2880	710	skeleton
2883	728	skeleton
2851	729	regrowth
2896	771	skeleton
2893	785	skeleton
2952	766	skeleton
2958	774	skeleton
2901	798	skeleton
2906	799	skeleton
2926	735	rosette
0	869	skeleton
23	841	regrowth
101	824	skeleton
129	816	skeleton
111	887	skeleton
224	822	skeleton
269	844	skeleton
288	866	skeleton
269	875	skeleton
279	878	skeleton
367	848	skeleton
318	856	regrowth
331	866	skeleton
321	876	skeleton
303	832	seedling
449	899	skeleton
451	898	seedling
500	822	skeleton
547	827	skeleton
515	836	skeleton
555	855	skeleton
556	861	skeleton
544	872	skeleton
599	877	skeleton
587	898	skeleton
551	863	seedling
551	865	seedling
504	822	skeleton
606	828	skeleton
623	878	skeleton
642	881	skeleton
652	882	skeleton
617	891	skeleton
646	899	skeleton
679	897	skeleton
622	829	seedling
607	844	seedling
672	888	seedling
604	893	seedling
751	899	seedling
800	804	skeleton
855	847	seedling
946	820	seedling
968	831	seedling
946	871	seedling
957	872	seedling
1379	806	skeleton
1365	801	skeleton
1381	821	skeleton
1382	822	skeleton
1378	821	skeleton
1379	822	skeleton
1339	879	skeleton
1372	853	skeleton
1398	854	skeleton
1388	861	skeleton
1386	892	skeleton
1378	888	seedling
1398	874	seedling
1391	833	skeleton
1384	821	skeleton
1410	801	skeleton
1426	800	skeleton
1437	813	skeleton
1454	821	regrowth
1443	814	skeleton
1463	839	skeleton
1425	868	skeleton
1419	875	skeleton
1448	877	skeleton
1469	881	skeleton
1421	876	skeleton
1425	887	skeleton
1478	897	skeleton
1426	898	skeleton
1426	889	skeleton
1407	864	skeleton
1437	898	skeleton
1443	899	skeleton
1552	862	skeleton
1517	872	skeleton
1543	888	skeleton
1548	889	skeleton
1546	895	skeleton
1502	884	skeleton
1554	837	seedling
1554	838	seedling
1577	838	seedling
1578	838	seedling
1579	839	seedling
1559	843	seedling
1552	846	seedling
1558	849	seedling
1554	849	seedling
1557	850	seedling
1559	854	seedling
1558	855	seedling
1617	831	skeleton
1619	833	skeleton
1793	829	seedling
1786	893	seedling
1741	897	seedling
1745	899	seedling
1841	862	skeleton
1802	809	seedling
1828	844	seedling
1803	861	seedling
1809	877	seedling
1848	879	seedling
1853	891	seedling
1911	800	rosette
1964	802	seedling
1996	821	seedling
1931	817	seedling
1933	816	seedling
1935	819	seedling
1918	821	seedling
1924	823	rosette
1927	822	seedling
1926	825	seedling
1945	827	seedling
1926	827	seedling
1932	830	rosette
1944	832	seedling
1952	834	seedling
1946	856	rosette
1943	871	seedling
1900	854	seedling
2055	818	skeleton
2072	829	skeleton
2071	846	skeleton
2081	851	skeleton
2069	851	skeleton
2079	872	skeleton
2041	829	rosette
2047	835	seedling
2054	891	seedling
2178	804	skeleton
2158	811	skeleton
2176	817	skeleton
2172	826	skeleton
2184	824	skeleton
2183	828	skeleton
2163	839	skeleton
2184	850	skeleton
2179	855	skeleton
2129	852	skeleton
2163	856	skeleton
2142	859	skeleton
2166	879	skeleton
2176	898	skeleton
2171	899	skeleton
2185	847	skeleton
2187	848	skeleton
2199	807	rosette
2264	800	skeleton
2249	800	skeleton
2201	825	skeleton
2202	829	skeleton
2249	825	skeleton
2292	821	skeleton
2279	848	skeleton
2269	879	skeleton
2269	888	skeleton
2282	894	skeleton
2342	809	skeleton
2351	817	skeleton
2329	851	skeleton
2362	864	rosette
2333	852	seedling
2352	896	seedling
2399	823	skeleton
2431	800	skeleton
2409	807	regrowth
2421	824	skeleton
2463	836	skeleton
2456	849	skeleton
2495	884	regrowth
2409	864	regrowth
2454	892	skeleton
2477	898	regrowth
2455	864	rosette
2500	819	skeleton
2527	817	skeleton
2549	828	skeleton
2591	826	skeleton
2592	839	skeleton
2582	839	skeleton
2521	812	regrowth
2563	862	regrowth
2561	860	skeleton
2546	898	skeleton
2603	859	skeleton
2633	861	skeleton
2693	835	skeleton
2659	872	skeleton
2699	892	skeleton
2688	892	skeleton
2663	899	skeleton
2665	885	skeleton
2661	849	skeleton
2769	828	regrowth
2719	854	skeleton
2745	876	skeleton
2721	899	skeleton
2798	889	skeleton
2799	899	skeleton
2818	818	rosette
2809	841	skeleton
2893	804	skeleton
2878	806	skeleton
2864	831	skeleton
2859	847	rosette
2843	872	skeleton
2823	886	skeleton
2802	889	skeleton
2809	840	skeleton
2809	820	skeleton
2803	833	skeleton
2828	875	skeleton
2830	883	skeleton
2946	817	skeleton
2919	834	skeleton
2909	844	skeleton
2982	822	regrowth
2975	884	seedling
2978	882	seedling
2984	862	seedling
71	909	skeleton
69	914	skeleton
74	918	skeleton
11	998	skeleton
15	992	skeleton
21	981	regrowth
154	963	skeleton
148	922	skeleton
143	967	skeleton
129	979	skeleton
229	938	skeleton
291	969	skeleton
338	908	skeleton
311	922	skeleton
328	926	skeleton
396	972	skeleton
391	982	skeleton
392	987	skeleton
488	944	skeleton
442	954	skeleton
431	961	skeleton
457	986	skeleton
472	963	skeleton
448	973	seedling
451	969	seedling
587	921	skeleton
571	929	skeleton
542	917	skeleton
542	933	regrowth
518	943	skeleton
552	931	skeleton
531	949	skeleton
568	953	skeleton
567	982	skeleton
505	986	skeleton
554	943	seedling
561	952	skeleton
572	907	seedling
539	939	seedling
656	934	skeleton
662	932	skeleton
695	917	skeleton
604	964	skeleton
603	998	skeleton
633	986	skeleton
636	986	skeleton
642	983	skeleton
689	952	skeleton
688	941	skeleton
695	965	skeleton
688	936	skeleton
633	976	skeleton
736	943	skeleton
742	929	skeleton
766	927	skeleton
760	923	skeleton
796	931	skeleton
716	936	skeleton
731	937	skeleton
757	971	skeleton
796	998	skeleton
702	936	seedling
709	956	skeleton
802	953	skeleton
854	926	seedling
813	962	skeleton
811	971	skeleton
919	924	seedling
1152	907	seedling
1157	908	rosette
1144	924	seedling
1151	923	seedling
1161	928	rosette
1176	935	seedling
1178	937	seedling
1169	935	seedling
1126	937	seedling
1126	943	seedling
1137	963	seedling
1138	964	seedling
1140	964	seedling
1258	935	seedling
1384	906	skeleton
1397	910	skeleton
1397	911	skeleton
1383	954	skeleton
1372	994	skeleton
1310	926	seedling
1309	928	seedling
1326	989	seedling
1328	990	seedling
1321	981	seedling
1318	978	seedling
1492	919	skeleton
1471	932	skeleton
1409	909	skeleton
1400	914	skeleton
1461	936	skeleton
1465	962	skeleton
1421	964	skeleton
1444	959	skeleton
1441	990	skeleton
1446	965	skeleton
1472	961	skeleton
1479	926	skeleton
1424	908	seedling
1504	911	skeleton
1507	912	skeleton
1504	938	skeleton
1543	945	skeleton
1596	956	skeleton
1561	999	skeleton
1517	946	skeleton
1578	937	skeleton
1557	905	seedling
1558	906	seedling
1559	905	seedling
1561	905	seedling
1560	910	seedling
1561	911	seedling
1606	913	skeleton
1602	964	skeleton
1611	926	skeleton
1695	992	seedling
1696	993	seedling
1767	941	skeleton
1768	937	skeleton
1768	949	skeleton
1791	900	seedling
1745	902	seedling
1749	903	seedling
1776	921	seedling
1746	945	seedling
1747	964	seedling
1716	965	seedling
1716	999	seedling
1729	997	seedling
1820	949	seedling
1949	909	seedling
1947	910	seedling
1952	967	seedling
2008	954	skeleton
2011	904	skeleton
2051	912	rosette
2024	958	seedling
2069	929	skeleton
2178	907	skeleton
2182	943	skeleton
2197	960	skeleton
2199	965	skeleton
2179	964	skeleton
2171	961	skeleton
2175	908	skeleton
2176	974	skeleton
2164	918	skeleton
2186	916	rosette
2247	909	skeleton
2277	976	regrowth
2269	973	skeleton
2205	937	skeleton
2206	938	skeleton
2218	984	skeleton
2269	900	regrowth
2238	927	seedling
2329	906	skeleton
2366	924	skeleton
2391	924	skeleton
2383	926	skeleton
2328	915	skeleton
2352	941	skeleton
2354	941	skeleton
2371	925	skeleton
2356	958	skeleton
2351	990	skeleton
2370	923	skeleton
2482	902	skeleton
2461	921	skeleton
2412	941	skeleton
2449	985	skeleton
2496	936	regrowth
2468	965	rosette
2434	970	rosette
2454	968	seedling
2511	905	skeleton
2561	907	skeleton
2599	917	skeleton
2561	908	skeleton
2555	907	skeleton
2598	963	regrowth
2577	969	skeleton
2548	932	skeleton
2523	949	skeleton
2567	988	skeleton
2554	900	regrowth
2676	917	skeleton
2688	900	skeleton
2618	908	skeleton
2605	916	skeleton
2652	912	skeleton
2600	999	skeleton
2616	913	skeleton
2665	909	skeleton
2716	909	skeleton
2734	900	skeleton
2797	903	skeleton
2762	925	skeleton
2712	928	skeleton
2733	969	skeleton
2718	914	skeleton
2784	977	skeleton
2874	929	skeleton
2882	956	skeleton
2879	978	skeleton
2843	956	seedling
2842	956	seedling
2842	957	seedling
2847	952	seedling
2821	956	seedling
2846	954	seedling
2959	901	seedling
2965	909	seedling
14	1053	skeleton
24	1051	skeleton
148	1068	seedling
143	1073	seedling
131	1074	seedling
294	1043	regrowth
359	1046	skeleton
387	1068	skeleton
399	1085	skeleton
396	1078	seedling
391	1081	seedling
311	1083	seedling
321	1084	seedling
412	1021	skeleton
408	1028	skeleton
401	1048	skeleton
441	1039	skeleton
459	1031	skeleton
599	1003	skeleton
568	1011	skeleton
568	1022	skeleton
572	1007	skeleton
558	1024	skeleton
527	1034	skeleton
577	1014	skeleton
524	1097	seedling
525	1099	seedling
527	1091	seedling
688	1029	skeleton
619	1034	skeleton
615	1014	skeleton
622	1085	skeleton
649	1031	skeleton
692	1062	skeleton
699	1064	skeleton
677	1076	skeleton
690	1092	seedling
760	1004	skeleton
727	1043	seedling
759	1003	seedling
754	1007	skeleton
721	1016	skeleton
764	1021	skeleton
748	1061	skeleton
730	1079	skeleton
736	1081	skeleton
714	1082	skeleton
750	1001	seedling
721	1076	seedling
716	1061	seedling
1066	1051	seedling
1032	1052	seedling
1036	1066	rosette
1138	1064	seedling
1159	1014	seedling
1262	1074	seedling
1256	1077	seedling
1271	1078	seedling
1319	1003	skeleton
1311	1006	skeleton
1349	1011	skeleton
1312	1047	skeleton
1302	1032	skeleton
1381	1079	skeleton
1375	1080	skeleton
1405	1087	skeleton
1411	1079	skeleton
1410	1077	skeleton
1433	1087	skeleton
1441	1088	skeleton
1443	1086	skeleton
1561	1049	skeleton
1505	1099	skeleton
1528	1072	skeleton
1535	1096	skeleton
1527	1052	seedling
1528	1054	seedling
1523	1057	seedling
1524	1059	seedling
1544	1063	seedling
1548	1063	seedling
1550	1064	seedling
1548	1067	seedling
1547	1071	seedling
1549	1072	seedling
1548	1078	seedling
1547	1081	seedling
1515	1086	seedling
1521	1058	seedling
1697	1087	skeleton
1603	1099	skeleton
1690	1078	skeleton
1631	1031	skeleton
1648	1088	skeleton
1766	1051	skeleton
1763	1061	skeleton
1748	1085	skeleton
1759	1046	seedling
1761	1048	seedling
1755	1054	seedling
1758	1054	seedling
1737	1059	seedling
1738	1059	seedling
1744	1063	seedling
1741	1063	seedling
1741	1064	seedling
1747	1066	seedling
1748	1066	seedling
1737	1066	seedling
1736	1067	seedling
1739	1069	seedling
1742	1070	seedling
1758	1072	seedling
1774	1077	seedling
1748	1076	seedling
1733	1076	seedling
1738	1076	seedling
1791	1080	seedling
1789	1084	seedling
1724	1093	seedling
1721	1097	seedling
1889	1064	skeleton
1822	1041	seedling
1884	1099	skeleton
1881	1089	seedling
1915	1041	skeleton
1951	1048	skeleton
1951	1051	skeleton
1946	1061	skeleton
1946	1063	skeleton
1971	1054	skeleton
1921	1091	skeleton
1925	1094	skeleton
1916	1099	skeleton
1932	1060	skeleton
2071	1047	skeleton
2036	1084	skeleton
2191	1063	skeleton
2164	1084	seedling
2161	1087	seedling
2139	1090	seedling
2131	1059	skeleton
2284	1047	skeleton
2268	1005	skeleton
2246	1074	skeleton
2246	1076	skeleton
2269	1079	skeleton
2245	1098	skeleton
2281	1099	skeleton
2275	1099	skeleton
2295	1062	skeleton
2368	1015	skeleton
2372	1014	skeleton
2366	1054	skeleton
2367	1057	regrowth
2398	1090	skeleton
2399	1087	skeleton
2366	1096	seedling
2368	1095	seedling
2331	1083	seedling
2323	1079	seedling
2394	1058	seedling
2393	1055	seedling
2408	1081	skeleton
2433	1072	skeleton
2435	1072	skeleton
2436	1087	skeleton
2466	1058	skeleton
2449	1099	skeleton
2488	1049	skeleton
2541	1014	regrowth
2576	1024	skeleton
2622	1014	skeleton
2649	1034	skeleton
2676	1048	skeleton
2699	1081	skeleton
2693	1078	skeleton
2679	1076	skeleton
2651	1098	skeleton
2636	1071	skeleton
2699	1090	skeleton
2648	1062	skeleton
2632	1077	skeleton
2646	1073	skeleton
2622	1043	skeleton
2621	1045	skeleton
2611	1056	seedling
2616	1056	seedling
2691	1039	rosette
2799	1013	rosette
2747	1006	skeleton
2766	1091	skeleton
2771	1092	skeleton
2734	1099	skeleton
2732	1098	skeleton
2762	1092	skeleton
2758	1073	skeleton
2816	1038	skeleton
2828	1066	skeleton
2842	1082	skeleton
2882	1073	seedling
2858	1077	seedling
2856	1076	seedling
2857	1086	seedling
2887	1070	seedling
2886	1068	seedling
2887	1067	seedling
2864	1069	seedling
2859	1064	seedling
2837	1065	seedling
2894	1063	seedling
2843	1058	seedling
2896	1062	seedling
2847	1056	seedling
2851	1052	seedling
2843	1054	seedling
2839	1019	seedling
2987	1099	seedling
2959	1087	seedling
2916	1079	seedling
2911	1061	seedling
2966	1011	seedling
8	1172	seedling
164	1142	skeleton
191	1158	skeleton
108	1126	seedling
126	1193	seedling
180	1199	seedling
125	1199	seedling
173	1199	seedling
207	1136	skeleton
214	1141	skeleton
234	1181	skeleton
386	1134	skeleton
392	1132	skeleton
353	1186	skeleton
374	1182	skeleton
373	1185	skeleton
371	1191	skeleton
328	1107	seedling
334	1108	seedling
326	1113	seedling
321	1114	seedling
313	1115	seedling
350	1129	seedling
436	1141	skeleton
448	1151	skeleton
419	1169	skeleton
416	1178	skeleton
484	1102	seedling
554	1141	skeleton
555	1146	skeleton
546	1147	skeleton
542	1160	skeleton
523	1125	seedling
521	1126	seedling
567	1132	seedling
565	1133	seedling
563	1134	seedling
578	1163	seedling
676	1103	skeleton
670	1107	skeleton
678	1116	skeleton
633	1127	skeleton
612	1142	seedling
632	1105	seedling
648	1177	skeleton
654	1171	seedling
795	1142	skeleton
759	1177	skeleton
763	1132	seedling
757	1171	skeleton
761	1164	seedling
757	1164	seedling
754	1165	seedling
702	1152	skeleton
845	1121	seedling
837	1131	seedling
835	1132	seedling
830	1133	seedling
822	1133	seedling
851	1120	seedling
856	1137	seedling
835	1162	seedling
998	1192	seedling
1057	1121	seedling
1182	1168	skeleton
1147	1184	skeleton
1162	1143	skeleton
1184	1199	skeleton
1187	1117	skeleton
1187	1130	skeleton
1492	1187	regrowth
1473	1173	skeleton
1473	1181	skeleton
1496	1189	skeleton
1466	1181	skeleton
1490	1182	skeleton
1452	1187	skeleton
1436	1192	skeleton
1481	1191	skeleton
1424	1196	skeleton
1436	1199	skeleton
1499	1199	skeleton
1422	1109	skeleton
1441	1128	seedling
1422	1196	skeleton
1483	1191	seedling
1599	1141	skeleton
1512	1103	skeleton
1552	1113	skeleton
1532	1147	skeleton
1525	1182	skeleton
1516	1184	skeleton
1510	1194	skeleton
1597	1188	skeleton
1524	1195	seedling
1501	1162	seedling
1543	1108	skeleton
1696	1126	skeleton
1680	1129	skeleton
1624	1111	skeleton
1619	1128	skeleton
1608	1153	skeleton
1602	1189	skeleton
1612	1198	skeleton
1675	1141	skeleton
1658	1158	skeleton
1653	1166	skeleton
1672	1179	skeleton
1666	1177	skeleton
1680	1186	skeleton
1687	1183	skeleton
1651	1182	skeleton
1687	1123	seedling
1678	1109	seedling
1607	1122	seedling
1677	1144	seedling
1699	1191	seedling
1677	1134	seedling
1799	1111	skeleton
1757	1112	skeleton
1779	1135	skeleton
1711	1132	skeleton
1762	1137	skeleton
1714	1136	skeleton
1772	1157	skeleton
1770	1151	skeleton
1786	1184	skeleton
1789	1184	skeleton
1731	1190	skeleton
1739	1195	skeleton
1734	1105	seedling
1738	1107	seedling
1739	1108	seedling
1718	1115	seedling
1742	1145	seedling
1717	1151	seedling
1716	1161	seedling
1899	1166	regrowth
1879	1148	skeleton
1868	1156	skeleton
1833	1177	skeleton
1845	1175	skeleton
1883	1160	skeleton
1866	1186	skeleton
1834	1190	regrowth
1868	1198	skeleton
1848	1199	skeleton
1891	1197	skeleton
1873	1171	skeleton
1848	1103	seedling
1891	1154	rosette
1879	1166	seedling
1992	1159	skeleton
1906	1143	skeleton
1918	1191	skeleton
1943	1166	skeleton
1948	1176	skeleton
1986	1183	skeleton
1976	1185	skeleton
1997	1189	skeleton
1999	1157	skeleton
1979	1104	seedling
1977	1109	seedling
1981	1112	seedling
1984	1113	seedling
1977	1113	seedling
1979	1120	seedling
1987	1122	seedling
1994	1157	skeleton
1950	1169	skeleton
2077	1134	skeleton
2032	1199	skeleton
2009	1116	skeleton
2002	1147	skeleton
2050	1111	seedling
2011	1129	seedling
2012	1122	seedling
2039	1188	seedling
2100	1136	skeleton
2102	1141	skeleton
2159	1131	skeleton
2176	1131	skeleton
2161	1134	seedling
2263	1108	skeleton
2268	1113	skeleton
2271	1133	skeleton
2278	1136	skeleton
2234	1157	skeleton
2235	1158	skeleton
2294	1185	skeleton
2295	1188	skeleton
2299	1189	skeleton
2264	1179	skeleton
2373	1115	skeleton
2385	1119	skeleton
2304	1166	skeleton
2309	1165	skeleton
2307	1175	skeleton
2308	1179	skeleton
2371	1137	skeleton
2373	1140	skeleton
2372	1144	skeleton
2355	1140	skeleton
2374	1157	skeleton
2372	1160	skeleton
2370	1162	skeleton
2368	1168	skeleton
2351	1195	skeleton
2349	1195	skeleton
2369	1159	skeleton
2352	1174	skeleton
2395	1198	regrowth
2431	1127	skeleton
2432	1128	skeleton
2439	1178	skeleton
2463	1177	skeleton
2436	1176	skeleton
2419	1166	skeleton
2484	1129	seedling
2472	1151	seedling
2424	1185	seedling
2596	1169	skeleton
2522	1178	skeleton
2566	1164	skeleton
2539	1178	skeleton
2589	1199	skeleton
2693	1150	skeleton
2663	1127	skeleton
2644	1111	skeleton
2641	1119	skeleton
2689	1164	skeleton
2600	1199	skeleton
2746	1109	skeleton
2718	1125	skeleton
2701	1187	skeleton
2776	1158	skeleton
2731	1144	skeleton
2764	1162	skeleton
2733	1182	skeleton
2755	1199	skeleton
2738	1181	skeleton
2732	1198	skeleton
2735	1183	skeleton
2723	1109	skeleton
2834	1107	skeleton
2848	1109	skeleton
2892	1178	skeleton
2855	1122	skeleton
2825	1169	skeleton
2916	1194	skeleton
2999	1155	regrowth
11	1282	skeleton
21	1267	skeleton
16	1264	skeleton
31	1272	skeleton
166	1211	skeleton
263	1237	skeleton
333	1231	skeleton
347	1222	skeleton
344	1228	skeleton
452	1288	seedling
458	1281	seedling
457	1279	seedling
450	1280	seedling
473	1277	seedling
447	1255	seedling
449	1251	seedling
547	1278	seedling
507	1262	seedling
558	1263	seedling
692	1218	skeleton
686	1220	skeleton
629	1221	skeleton
629	1219	skeleton
746	1257	skeleton
777	1299	seedling
773	1298	seedling
868	1299	seedling
837	1259	seedling
890	1255	seedling
976	1249	seedling
1082	1231	skeleton
1074	1278	skeleton
1083	1271	skeleton
1006	1294	seedling
1008	1286	seedling
1035	1280	seedling
1008	1269	seedling
1013	1267	seedling
1003	1245	seedling
1005	1242	seedling
1007	1243	seedling
1051	1241	seedling
1017	1236	seedling
1031	1202	seedling
1172	1213	skeleton
1144	1264	skeleton
1178	1237	skeleton
1166	1220	skeleton
1134	1213	seedling
1246	1248	skeleton
1203	1257	skeleton
1209	1276	skeleton
1278	1282	skeleton
1280	1284	skeleton
1258	1242	skeleton
1261	1212	seedling
1266	1222	seedling
1244	1229	seedling
1271	1266	seedling
1254	1278	seedling
1262	1289	seedling
1349	1222	skeleton
1352	1220	skeleton
1341	1246	skeleton
1361	1287	skeleton
1376	1249	skeleton
1310	1279	skeleton
1312	1285	skeleton
1314	1285	skeleton
1332	1287	skeleton
1338	1295	skeleton
1396	1287	skeleton
1336	1289	skeleton
1304	1274	skeleton
1311	1222	seedling
1310	1219	seedling
1340	1216	seedling
1307	1238	seedling
1326	1241	seedling
1317	1245	seedling
1332	1257	seedling
1302	1280	seedling
1329	1299	seedling
1303	1291	seedling
1326	1278	seedling
1366	1298	seedling
1365	1295	seedling
1471	1248	skeleton
1491	1249	skeleton
1464	1224	skeleton
1456	1223	skeleton
1462	1227	skeleton
1481	1238	skeleton
1476	1253	skeleton
1402	1297	skeleton
1474	1289	skeleton
1456	1255	skeleton
1452	1255	skeleton
1482	1243	skeleton
1457	1222	seedling
1468	1222	seedling
1454	1274	seedling
1450	1274	seedling
1405	1299	seedling
1597	1289	skeleton
1508	1205	skeleton
1506	1206	skeleton
1548	1212	skeleton
1563	1224	skeleton
1589	1230	skeleton
1588	1234	skeleton
1566	1234	skeleton
1581	1242	skeleton
1540	1246	skeleton
1508	1251	skeleton
1513	1263	skeleton
1514	1234	skeleton
1516	1276	skeleton
1538	1274	skeleton
1530	1297	skeleton
1537	1293	seedling
1536	1292	seedling
1535	1291	seedling
1534	1291	seedling
1533	1288	seedling
1536	1281	seedling
1562	1283	seedling
1563	1284	seedling
1628	1206	skeleton
1626	1202	skeleton
1642	1226	skeleton
1617	1273	skeleton
1659	1286	skeleton
1642	1297	skeleton
1652	1299	skeleton
1688	1274	skeleton
1616	1277	skeleton
1638	1238	skeleton
1775	1272	skeleton
1782	1274	skeleton
1763	1276	skeleton
1769	1272	skeleton
1780	1277	skeleton
1732	1215	skeleton
1707	1216	skeleton
1731	1239	skeleton
1737	1245	skeleton
1722	1248	skeleton
1730	1271	skeleton
1730	1274	skeleton
1752	1214	skeleton
1721	1222	seedling
1732	1224	seedling
1832	1248	skeleton
1810	1207	skeleton
1852	1236	regrowth
1841	1223	regrowth
1845	1229	skeleton
1877	1251	skeleton
1822	1263	skeleton
1888	1226	skeleton
1858	1272	skeleton
1856	1284	skeleton
1883	1256	skeleton
1873	1259	skeleton
1889	1267	skeleton
1848	1297	skeleton
1904	1222	skeleton
1918	1207	skeleton
1908	1206	skeleton
1959	1224	skeleton
1939	1213	skeleton
1946	1244	skeleton
1972	1252	regrowth
1985	1284	skeleton
1983	1291	skeleton
1906	1293	skeleton
1972	1251	skeleton
1977	1253	skeleton
1967	1299	seedling
1969	1299	seedling
1962	1298	seedling
1915	1298	seedling
1960	1298	seedling
1961	1297	seedling
1917	1298	seedling
1963	1295	seedling
1991	1295	seedling
1951	1289	seedling
1958	1289	seedling
1967	1287	seedling
1913	1284	seedling
1914	1276	seedling
1916	1274	seedling
1920	1270	seedling
1912	1206	skeleton
2098	1212	skeleton
2098	1213	skeleton
2093	1213	skeleton
2072	1246	skeleton
2087	1276	skeleton
2048	1295	seedling
2038	1294	seedling
2089	1289	seedling
2058	1286	seedling
2061	1280	seedling
2057	1280	seedling
2069	1281	seedling
2050	1277	seedling
2051	1276	seedling
2052	1275	seedling
2059	1275	seedling
2072	1276	seedling
2081	1275	seedling
2049	1273	seedling
2052	1272	seedling
2091	1271	seedling
2079	1270	seedling
2055	1267	seedling
2056	1266	seedling
2081	1266	seedling
2076	1264	seedling
2050	1264	seedling
2062	1249	seedling
2044	1241	seedling
2126	1267	skeleton
2126	1259	skeleton
2188	1259	skeleton
2188	1260	skeleton
2174	1231	skeleton
2190	1261	skeleton
2100	1283	skeleton
2132	1254	skeleton
2146	1298	skeleton
2135	1299	skeleton
2156	1299	skeleton
2118	1292	skeleton
2137	1293	skeleton
2195	1286	skeleton
2185	1281	seedling
2188	1279	seedling
2185	1277	seedling
2189	1276	seedling
2199	1278	seedling
2189	1271	seedling
2124	1257	seedling
2146	1252	rosette
2183	1252	seedling
2197	1223	seedling
2232	1200	skeleton
2234	1204	skeleton
2256	1243	skeleton
2257	1249	skeleton
2223	1271	skeleton
2243	1285	skeleton
2288	1287	skeleton
2242	1287	skeleton
2241	1286	skeleton
2230	1287	skeleton
2210	1274	skeleton
2202	1212	seedling
2219	1221	seedling
2218	1223	seedling
2216	1291	seedling
2214	1290	seedling
2384	1215	skeleton
2386	1219	skeleton
2390	1217	skeleton
2304	1272	skeleton
2308	1275	skeleton
2310	1274	skeleton
2373	1261	skeleton
2349	1236	skeleton
2456	1246	skeleton
2446	1221	skeleton
2431	1208	skeleton
2418	1284	skeleton
2430	1204	skeleton
2432	1267	skeleton
2554	1223	skeleton
2546	1246	skeleton
2560	1221	skeleton
2588	1278	skeleton
2546	1294	skeleton
2546	1285	skeleton
2699	1279	skeleton
2689	1276	regrowth
2680	1271	skeleton
2650	1277	skeleton
2681	1203	skeleton
2685	1271	seedling
2603	1241	seedling
2799	1237	skeleton
2774	1241	skeleton
2762	1224	skeleton
2738	1217	skeleton
2703	1240	skeleton
2702	1273	skeleton
2786	1243	skeleton
2798	1266	seedling
2728	1261	skeleton
2817	1229	skeleton
2819	1212	rosette
2889	1207	seedling
2821	1223	seedling
2882	1283	skeleton
2993	1216	seedling
139	1350	skeleton
113	1366	skeleton
100	1376	skeleton
126	1376	skeleton
153	1351	skeleton
160	1334	skeleton
171	1384	skeleton
109	1376	skeleton
167	1359	seedling
143	1354	skeleton
202	1393	skeleton
286	1363	seedling
389	1354	regrowth
405	1317	seedling
476	1319	seedling
493	1327	seedling
418	1338	seedling
494	1346	seedling
492	1347	seedling
403	1369	seedling
511	1337	seedling
526	1354	seedling
528	1356	seedling
718	1307	seedling
715	1339	seedling
714	1340	seedling
713	1341	seedling
889	1359	skeleton
841	1398	regrowth
890	1364	skeleton
896	1383	skeleton
831	1313	seedling
883	1320	seedling
887	1326	seedling
827	1333	seedling
832	1333	seedling
838	1334	seedling
855	1337	seedling
853	1342	seedling
850	1343	seedling
855	1359	seedling
851	1376	seedling
843	1378	seedling
839	1382	seedling
842	1383	seedling
839	1389	seedling
948	1334	skeleton
902	1379	skeleton
973	1399	rosette
925	1398	seedling
905	1388	seedling
912	1372	seedling
910	1370	seedling
958	1367	seedling
966	1342	seedling
1098	1395	skeleton
1086	1384	skeleton
