count farm field block quadrat
1153 0 4 5 1 2
1154 3 4 5 1 2
1155 3 4 5 1 2
1156 1 4 5 1 2
1157 1 4 5 1 2
1158 3 4 5 1 2
1159 1 4 5 1 2
1160 0 4 5 1 2
1161 2 4 5 2 1
1162 1 4 5 2 1
1163 0 4 5 2 1
1164 0 4 5 2 1
1165 7 4 5 2 1
1166 0 4 5 2 1
1167 1 4 5 2 1
1168 0 4 5 2 1
1169 1 4 5 2 1
1170 0 4 5 2 1
1171 0 4 5 2 2
1172 2 4 5 2 2
1173 0 4 5 2 2
1174 2 4 5 2 2
1175 0 4 5 2 2
1176 3 4 5 2 2
1177 3 4 5 2 2
1178 1 4 5 2 2
1179 4 4 5 2 2
1180 2 4 5 2 2
1181 2 4 5 3 1
1182 3 4 5 3 1
1183 1 4 5 3 1
1184 0 4 5 3 1
1185 1 4 5 3 1
1186 6 4 5 3 1
1187 0 4 5 3 1
1188 5 4 5 3 1
1189 11 4 5 3 1
1190 3 4 5 3 1
1191 1 4 5 3 2
1192 1 4 5 3 2
1193 0 4 5 3 2
1194 9 4 5 3 2
1195 1 4 5 3 2
1196 4 4 5 3 2
1197 16 4 5 3 2
1198 3 4 5 3 2
1199 1 4 5 3 2
1200 3 4 5 3 2
